ID,Response Status,Participant Type,Q1_6_TEXT,Q4,"For those who answered Q4, do they know which app store they are using?",Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_7,Q8_8,Q8_9,Q8_10,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_11,Q11_12,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q15_19,Q15_20,Q15_21,Q15_22,Q15_23,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29.1,Q29.2,Q29.3,Q29.4,Q29.5,Q29.6,Q29.7,Q29.8,Q29.9,Q29.10,Q29.11,Q29.12,Q29.13,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10
1764,1,2,1,6,1,7,3,,,1,1,1,,,,1,,1,,,1,,1,,1,,1,1,,1,1,1,,,,1,1,,1,,,1,1,,,,,,,,,1,1,,1,,,,,,,,,1,,1,1,,,,,,,,,,1,,1,1,,,1,,,,,1,1,,1,,,,1,1,1,,1,1,,,,,,1,,2,47,3,15,13,10,3,4,12,2,2,10,6,,,,,,4,,,,,,,,6,3,5,6,4,4,6,4,5,3
1766,1,2,1,1,1,7,3,,,,,1,,,,,,1,,,,,1,,,,,,1,1,,,,,,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,1,,,,1,,,,,,,,,,,1,1,,,,,,1,1,,,,1,33,1,10,8,4,4,3,16,2,1,21,6,,,,,,4,,,,,,,,7,5,7,2,7,7,6,2,7,2
1768,1,2,0,1,1,6,2,,1,,1,1,,1,1,1,1,1,1,,1,,,,1,,1,1,1,1,1,,1,,,1,,1,1,,1,1,1,,,1,1,1,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,1,,,,1,1,,,1,,1,,1,,,,,1,,1,,1,1,,,1,,1,1,,,1,,2,52,4,7,5,2,4,3,15,2,1,17,6,,,,,,4,,,,,,,,2,4,5,5,2,2,6,1,4,6
1770,1,2,1,3,2,6,3,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,16,2,6,4,7,1,2,9,2,4,24,5,,,,,12,,,,,,,,,2,1,6,2,2,5,1,2,3,1
1774,1,2,1,1,1,6,2,,,,,1,,,,,,,1,,,,1,,,,1,,,1,,1,1,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,1,,,1,,,1,1,1,,,,,,,,1,,1,1,,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,,2,34,3,2,1,1,4,3,16,2,1,8,1,12,,,,,,,,,,,,,5,2,7,4,7,3,7,4,4,1
1776,1,2,1,3,1,5,3,,1,1,1,1,,,,1,,,,,1,,,,,1,,,1,1,1,1,,,,,,,,,1,,,,,1,1,,,,,,,,,1,,,,,1,,,,,1,,1,,,1,,,,,,1,,,,,1,,,1,1,,1,,,1,,1,1,1,,,,,,,1,,1,,,,1,67,3,11,9,5,1,5,18,2,1,22,8,,,,,,,,6,,,,,,4,4,5,6,5,3,5,3,3,4
1778,1,2,0,3,1,6,3,,,,1,,,,,,,1,,,,,1,,,,1,,,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,,1,,,,,2,36,3,10,8,4,4,3,15,2,6,16,6,,,,,,12,,,,,,,,4,4,5,6,6,4,6,5,2,2
1782,1,2,1,9,2,1,1,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,67,3,11,9,5,1,5,16,2,8,1,8,,,,,,,,5,,,,,,2,4,4,5,4,6,6,3,5,4
1785,1,2,1,1,1,8,6,1,1,1,1,1,,,,,,1,,1,1,,,1,,,,,,1,1,1,1,,,,,1,,1,,1,1,1,,,,,,,,1,,1,1,1,,,,1,,,,1,1,1,,1,,,1,,,,,,,,,,1,,1,,,1,,,1,1,,1,,1,,1,,,,1,1,,1,,1,1,,1,22,4,13,12,9,7,3,12,2,1,9,10,,,,,,,,,,4,,,,7,1,6,7,7,7,7,6,1,1
1789,1,2,1,5,1,2,1,,,,,1,,,,,,,,,1,,1,,,,,1,,,1,1,,,,,,1,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,1,,1,,,,,1,1,,,1,,,,1,,,,,,,1,,,1,1,,,,1,37,3,10,8,4,6,3,18,2,1,21,6,,,,,,4,,,,,,,,5,4,5,3,5,4,5,2,5,3
1790,1,2,1,3,1,7,5,,1,,1,1,,1,,,,1,,,,,,,1,,1,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,1,,1,,,,1,,1,,,,1,,1,46,3,4,8,1,5,3,18,2,1,23,6,,,,,,4,,,,,,,,4,4,4,4,4,5,4,2,4,4
1793,1,2,1,1,1,6,3,,1,1,1,,,,,1,1,1,1,,1,,,1,,1,1,1,,1,1,,1,1,,1,1,1,1,1,,1,1,,,1,1,1,,,,1,1,,1,1,1,1,1,,1,,,1,1,,1,,,1,1,1,,1,1,,1,,,1,1,,1,,,,,,,1,1,1,,1,,1,1,1,,1,,,1,,1,1,,1,16,2,4,14,1,4,2,12,2,4,24,3,,,12,,,,,,,,,,,4,6,6,4,6,4,4,3,4,6
1795,1,2,1,3,1,5,2,,1,,1,,,1,,1,1,,1,,,,1,,,,,1,1,1,1,,1,,,,,1,,,,1,,,,,1,1,,,1,,1,,1,,,,,,,,,1,,,1,,,1,1,,,,1,,1,,,,,1,1,,1,,,,,1,,,,,1,,,,,1,,1,,1,,,,1,34,1,15,13,10,3,3,28,2,4,24,6,,,,,,12,,,,,,,,5,4,7,4,5,3,6,2,3,3
1797,1,2,1,9,2,1,1,,,,,1,,,,1,,,,,,,1,,1,,1,,1,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,1,,,,1,,1,1,,,,1,,1,,,,,,,,,,,,,1,66,3,11,9,5,1,6,27,2,8,1,8,,,,,,,,6,,,,,,2,4,3,4,4,3,3,4,4,3
1798,1,2,1,1,1,8,3,1,,1,,1,,1,1,1,,1,1,1,,,,,1,1,,1,,1,,1,,1,,,,,,1,1,1,,,,,,,,,,,1,1,,1,,1,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,1,,,1,,1,,,1,,1,1,,,1,33,3,2,1,1,4,3,20,2,1,17,1,6,,,,,,,,,,,,,4,4,4,5,5,5,4,5,5,5
1799,1,2,1,9,2,1,1,,,1,,,,,,,,1,,,1,,,,,,,1,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,1,1,,,,,,,1,20,2,6,4,7,1,5,15,2,4,24,5,,,,,1,,,,,,,,,5,2,7,2,5,7,6,1,7,1
1800,1,2,1,1,2,2,1,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,1,44,3,10,8,4,4,2,16,2,3,19,6,,,,,,4,,,,,,,,5,4,5,5,6,4,5,3,4,5
1801,1,2,1,9,2,2,1,,,,1,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,1,1,,,,,,,,,,,,1,65,3,11,9,5,1,3,13,2,1,22,8,,,,,,,,6,,,,,,5,2,5,2,5,4,5,3,6,3
1802,1,2,0,3,1,4,1,,1,1,1,,,,,,,1,1,,,,1,1,,1,,1,,1,,,1,,,1,1,1,,,,,1,,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,1,,1,,2,23,1,1,15,1,3,2,16,2,1,9,12,,,,,,,,,,,,6,,7,1,7,1,7,1,7,1,1,1
1803,1,2,1,3,1,2,1,,1,,,,,,,,,,,1,,,,,1,,1,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,2,32,3,9,7,11,1,6,16,2,2,17,7,,,,,,,11,,,,,,,6,2,6,2,7,2,7,5,6,2
1806,1,2,1,3,1,2,1,,1,,,,,,,,,1,1,,,,1,,,,,1,1,1,1,,,,,,,1,,,,1,,,,1,,,,,,,,,1,1,1,1,,,1,,,1,,,1,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,51,2,2,1,1,4,3,20,1,3,22,1,8,,,,,,,,,,,,,6,6,2,7,4,2,4,7,1,4
1808,1,2,1,1,1,2,1,,,,,1,,,,,,1,,,,,1,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,68,5,8,6,3,4,3,12,2,3,16,6,,,,,,12,,,,,,,,2,5,4,3,5,4,6,3,6,3
1809,1,2,1,4,2,4,2,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,61,4,4,14,1,4,2,10,1,8,11,3,,,2,,,,,,,,,,,2,1,4,5,5,5,7,2,6,3
1811,1,2,1,3,1,2,1,,1,,,,,1,,,,,1,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,1,,,,2,43,1,4,14,1,4,5,18,2,1,7,3,,,12,,,,,,,,,,,3,4,6,2,6,5,6,3,5,3
1817,1,2,1,4,1,8,4,1,,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,28,3,13,12,9,1,7,6,1,5,2,8,,,,,,,,6,,,,,,3,3,3,3,3,3,3,3,2,3
1821,1,2,1,5,1,6,3,,,,,1,,,1,,,1,,,,,1,,1,,,1,1,1,,1,,1,,,,1,,,,,,,,,,1,,,,,1,,,,1,,,,,,1,,,,,,,,1,1,,,,,,,1,,,1,1,,,,,1,,1,,,1,,,,,1,,1,1,,,1,,,,2,45,2,4,14,1,4,5,20,2,2,11,3,,,6,,,,,,,,,,,5,3,6,1,6,4,5,1,6,2
1823,1,2,0,1,1,3,2,,,,,1,,1,,,1,,,,,,,,1,,,,1,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,2,27,3,5,3,1,4,6,18,2,1,10,4,,,,7,,,,,,,,,,5,2,5,2,6,3,6,2,6,4
1825,1,2,1,3,1,8,3,,,1,1,1,,1,,,1,1,1,,1,,1,,,,,1,,,1,,,,,,,1,,,,1,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,1,1,,,,,1,,1,,,,1,,,,,,,,,1,,,,1,,,,,,,1,,,,,2,18,2,14,11,6,1,2,12,2,4,24,11,,,,,,,,,,,1,,,3,4,6,2,4,6,6,3,6,5
1826,1,2,1,3,1,6,2,,1,,1,1,,,,,,,1,,,,1,,,,,1,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,1,,,,,,,1,,,1,,,,1,1,1,,,,,,,1,,,1,,,,,,1,,,,,,,1,,,,,1,,,,1,,,2,17,2,6,4,7,1,3,10,2,1,8,5,,,,,2,,,,,,,,,5,4,5,4,4,4,5,2,3,2
1829,1,2,1,9,2,5,2,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,70,3,11,9,5,1,3,11,2,8,16,8,,,,,,,,7,,,,,,2,6,2,4,4,6,6,4,6,3
1830,1,2,0,3,1,8,4,,1,,1,1,,1,,1,,1,,1,1,,1,,,,1,,1,1,,1,1,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,1,1,,1,1,,,,,,,,,1,,,,1,,1,,1,,,,,1,1,,1,52,3,15,13,10,4,5,15,2,6,19,6,,,,,,2,,,,,,,,5,5,6,3,6,5,6,2,6,2
1831,1,2,,1,1,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,16,2,6,4,7,1,1,10,2,4,24,5,,,,,6,,,,,,,,,7,7,4,4,4,7,1,7,5,1
1832,1,2,1,6,1,2,1,,,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,69,3,11,9,5,1,5,16,2,8,1,8,,,,,,,,5,,,,,,5,4,5,5,3,5,5,3,5,3
1836,1,2,1,4,2,1,1,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,48,3,15,13,10,3,2,14,1,6,21,6,,,,,,3,,,,,,,,5,3,5,4,4,4,6,4,4,4
1838,1,2,1,1,1,6,2,,,1,,1,,,,,1,,1,1,,,1,,,,1,,1,1,1,,1,,,,,,1,,,,1,,,1,,1,,,1,,,,,,,,,,,,1,,,,,,,1,1,1,,,1,,,1,1,1,1,,,,1,1,,1,,1,1,1,1,1,,1,1,,,1,,1,,,,,,1,25,1,8,6,3,7,5,20,2,1,22,6,,,,,,1,,,,,,,,4,2,6,1,5,1,6,1,4,1
1840,1,2,0,3,2,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,18,2,14,11,6,7,2,13,2,4,24,11,,,,,,,,,,,12,,,4,2,4,2,3,3,4,2,4,2
1844,1,2,0,5,1,3,2,,,,1,1,,,,1,,,,,1,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,1,,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,40,3,7,5,2,6,3,14,2,1,15,6,,,,,,5,,,,,,,,5,2,6,2,5,4,6,2,5,3
1847,1,2,1,4,1,1,1,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2,66,3,8,6,3,4,6,20,2,8,6,6,,,,,,2,,,,,,,,1,1,7,1,4,1,7,1,7,1
1848,1,2,0,3,1,5,2,,,,,1,,1,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,1,,,,,,,,1,1,1,,1,,1,40,3,8,6,3,4,6,20,2,1,17,6,,,,,,8,,,,,,,,4,4,5,3,5,5,5,3,5,4
1849,1,2,1,4,1,2,1,,,,1,,,,,,,,,1,,,,,,,1,,,1,1,1,,1,,1,,,1,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,1,1,,,1,,1,,,1,,,,1,,,,,,,,,,1,,1,,,,,,,,1,,,1,,,1,,1,30,1,10,8,4,4,6,18,2,1,8,6,,,,,,3,,,,,,,,3,3,3,2,6,6,4,5,5,4
1850,1,2,0,1,1,2,1,,,1,1,,,1,,,1,,1,,,,1,,,,1,1,1,1,1,,,,,,,1,,,,1,1,1,,,,1,,,1,,,,,1,,,,,,,,1,,1,1,,,1,1,,,,,,,1,1,1,1,1,1,,,,,1,,,,,1,1,,1,,,,,1,1,,,,,,2,27,2,8,6,3,4,4,23,2,1,17,6,,,,,,2,,,,,,,,4,1,6,2,2,3,7,1,3,4
1852,1,2,1,9,2,1,1,,,1,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,69,3,11,9,5,1,3,13,2,6,1,8,,,,,,,,4,,,,,,6,4,4,5,4,4,7,1,3,2
1857,1,2,0,1,1,7,2,,,,,1,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,1,1,1,,,1,,1,,,,1,,,1,1,,,,2,67,3,2,1,1,4,2,20,2,2,17,1,5,,,,,,,,,,,,,1,1,7,7,5,7,5,1,7,1
1858,1,2,1,9,2,2,2,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,68,3,11,9,5,1,5,16,2,8,1,8,,,,,,,,7,,,,,,3,4,6,3,4,5,4,2,4,6
1859,1,2,1,1,1,3,1,,,1,1,,1,,,,1,,1,,,,1,,,,1,,,1,,,,,,,,,,,,1,,,,,,1,1,,1,,1,,,1,,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,1,,,,1,,,,1,,,,2,31,3,5,3,1,4,3,16,2,1,17,4,,,,12,,,,,,,,,,6,3,6,3,5,2,6,2,5,4
1861,1,2,1,3,1,6,1,,,1,,,,,,1,1,1,,,,,1,,1,,,1,,,1,,1,,,,,,1,1,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,1,25,4,6,4,7,1,3,12,2,1,12,5,,,,,5,,,,,,,,,2,3,7,5,4,7,7,5,4,7
1862,1,2,0,5,1,4,2,,,,1,1,,1,,1,,1,1,,,,,,,,1,1,1,1,,1,,,,,,1,,,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,1,,,,2,50,4,7,5,2,7,3,19,2,1,25,6,,,,,,3,,,,,,,,6,1,4,1,6,4,7,1,5,1
1863,1,2,1,5,2,2,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,45,4,10,8,4,5,4,15,2,6,13,6,,,,,,2,,,,,,,,7,4,5,1,7,7,4,2,7,5
1864,1,2,1,1,1,1,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,36,3,10,8,4,4,3,16,2,3,2,6,,,,,,8,,,,,,,,4,5,4,3,5,3,3,5,3,3
1871,1,2,1,3,1,4,2,,,1,1,1,,,,1,1,,,,,,,1,1,,,1,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2,17,2,14,11,6,1,2,7,2,4,1,11,,,,,,,,,,,12,,,5,3,5,4,4,5,5,2,4,2
1872,1,2,0,3,1,7,4,,,1,1,1,,1,,1,,1,1,,,,,,1,1,,1,1,,,,1,1,,,,,1,,,1,1,,1,,1,1,,,,,1,,,,,,,,,,,1,,1,,1,,1,1,1,,,1,1,,,,,1,,1,,1,,,,1,1,,1,,,,1,1,,,1,,,,,,1,,2,17,2,4,14,1,5,2,11,2,2,17,3,,,5,,,,,,,,,,,7,1,5,5,7,3,7,1,6,1
1876,1,2,1,9,2,1,1,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,65,3,11,9,5,1,3,13,2,2,16,8,,,,,,,,8,,,,,,5,3,4,5,4,3,4,4,3,3
1877,1,2,1,1,1,4,2,,1,,1,,,,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,1,,,,,1,1,,,,,,,,,,,,,1,,1,,2,55,3,7,5,2,6,7,20,2,1,8,6,,,,,,5,,,,,,,,5,5,6,6,7,3,5,2,2,2
1879,1,2,1,1,1,3,1,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,1,1,1,,,,,,1,1,,1,,,,1,67,3,8,6,3,4,2,15,2,1,4,6,,,,,,9,,,,,,,,3,3,7,3,4,4,7,2,7,3
1883,1,2,1,3,1,4,2,,1,1,,,,,,,,,1,,1,,,,,,,,1,1,1,,,,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,1,1,,1,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,38,1,8,6,3,4,2,10,2,6,22,6,,,,,,3,,,,,,,,5,3,5,3,4,4,6,4,4,4
1891,1,2,1,4,1,4,2,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,43,3,15,13,10,3,3,17,2,1,16,6,,,,,,3,,,,,,,,6,2,6,2,5,4,6,3,5,4
1892,1,2,0,1,1,5,2,,1,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,1,,,,,,,1,1,,,,2,51,1,7,5,2,6,6,23,2,1,8,6,,,,,,12,,,,,,,,2,3,7,7,3,7,4,1,4,7
1897,1,2,0,1,1,6,2,,1,1,1,,,,,,1,,1,,,,1,,,,1,,1,1,,,,,,1,,,,,,1,,,,,,,1,,,,,,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,2,26,1,13,12,9,7,3,16,2,1,16,10,,,,,,,,,,6,,,,7,2,7,2,6,7,7,2,6,1
1900,1,2,1,4,1,6,4,,1,,1,1,,1,,1,1,,,,,,,,1,,,,1,1,,1,1,1,,1,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,33,3,16,13,11,4,4,12,2,6,22,6,,,,,,3,,,,,,,,5,4,6,3,7,6,7,1,7,3
1901,1,2,1,1,2,3,2,,,,,1,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,66,3,8,6,3,4,6,16,2,8,8,6,,,,,,4,,,,,,,,3,4,7,2,5,7,5,1,7,5
1907,1,2,1,5,2,1,1,,,1,1,1,,,,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,1,,,1,,,1,1,,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,1,,,1,1,1,,,1,1,1,1,,,1,,1,18,1,12,10,10,3,2,12,2,2,17,9,,,,,,,,,9,,,,,3,1,5,5,4,7,4,6,7,1
1908,1,2,1,3,1,5,3,,,1,1,1,,1,,,1,1,1,1,1,,,,,1,,1,,1,1,,1,1,,1,,1,,,,1,1,,,,1,1,1,,,1,,,,1,1,1,1,,,,,1,,1,1,,,1,1,,,,,1,,1,,1,1,1,1,,1,,,1,,1,1,1,,1,,1,1,,,1,,1,1,1,1,1,,1,25,1,8,6,1,4,3,0,2,4,24,6,,,,,,2,,,,,,,,1,1,7,1,6,1,5,5,6,1
1911,1,2,1,1,1,6,2,,,,,1,,,,,,1,,1,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,1,,,,,,1,,,,1,,,1,1,,,,1,70,3,11,9,5,1,3,10,2,8,15,8,,,,,,,,12,,,,,,5,4,4,4,7,5,4,5,4,1
1912,1,2,1,3,2,1,1,,1,,,,,,,1,,,,,,,,,,,,,,1,1,1,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,1,51,2,15,13,10,4,6,20,2,6,8,6,,,,,,1,,,,,,,,3,3,5,5,4,6,5,5,5,4
1913,1,2,1,2,1,2,1,,,1,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,1,,1,,,,,1,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,2,17,2,4,14,1,7,2,13,2,2,5,3,,,6,,,,,,,,,,,6,2,5,2,4,5,6,4,6,2
1914,1,2,0,4,1,5,3,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,1,,,,,1,1,,1,,,,,,,,,1,1,,,,,1,,1,,1,1,1,,,,1,,1,20,2,9,7,11,7,5,15,2,1,4,7,,,,,,,5,,,,,,,2,5,7,3,7,4,6,3,5,4
